Total Benefits,Total Compensation,Percentage Ben/Comp
37692.466,145259.268,25.948406954659852
39364.38218253968,172979.3625952381,22.52650008185505
28419.285835064948,96108.63301580085,29.594277352257027
33012.04238888889,119663.43589583332,27.737129976497997
20103.658041666666,68828.60421527778,29.772765362944924
7460.345471475721,25367.32189541098,25.260870454742765
17575.76,55934.44999999999,31.422066365182822
18968.903133333333,62804.010092592594,29.95464869923213
31012.04751190475,116762.09178273809,26.525715619216882
32926.947311904754,141162.84437551835,24.16530930782528
15981.674930839008,52685.71985487528,29.085345880392982
38636.11531589513,186756.567952365,21.41821791489127
37237.51775,133347.449,27.87668885502827
30293.87038095238,102614.0412857143,29.486144753879465
24316.883173992665,78533.75812728934,30.87752174744009
29122.372804842988,102724.91729017388,28.653685136943757
25590.278859649126,88883.86471929825,29.055754291694807
34143.835472716855,132147.34897421175,25.93802478885525
31657.451731552163,123709.15726208653,26.36412482314707
29674.87235185185,111561.49046296295,26.649306478624045
10415.835535714286,30589.509285714284,34.23338294578335
35956.44343333333,139791.49070000002,27.0127234229588
24486.505834935895,83244.60032532048,30.24023341688808
25577.22690476191,122705.56892857142,16.534906179668177
27037.39,83926.07,32.215722718816686
23274.166692532344,92432.53494597401,25.203974448364285
21990.847777777777,65199.80611111111,33.100578407642274
29709.2179654195,100327.14593480727,29.68196744296387
10022.403789308177,35414.250166666665,24.683429042196416
32258.441640869638,161565.66911563554,20.52010406910251
31396.88225,125291.22162499999,25.115119955147662
29536.64930555555,110515.67205555557,26.95759443766333
28680.74233976945,104570.98690190131,27.779110560445375
28819.732,98635.98199999999,29.21827452379397
37392.11631914893,149101.4115602837,25.814470367724127
11110.094674397034,32190.75833998145,31.9242570003164
26976.334795045048,92333.16918018018,29.556162620927456
6472.363871252204,21208.974007936504,30.45371661044589
14047.543106060608,43247.685075757574,32.08227113087511
13636.096666666666,48377.159999999996,28.187054938046526
23969.66719509041,80717.83164544121,29.651578451564006
29683.2787693133,110422.0968812589,27.232886736416937
28841.880987617275,94147.94765756359,31.517801040365924
22208.509488505744,79253.58763218392,26.768663395541584
37672.30130527611,153105.57364006265,25.083019562503118
